#title	latitude	longitude	Addresscode_1	AddressCode_2	AddressCode_3
김포공항	37.55898689	126.8028745	대한민국	서울	강서구
서울역	37.5530287	126.9726446	대한민국	서울	용산구
제주국제공항	33.50707896	126.492769	대한민국	제주특별자치도	제주시
대전역	36.332236	127.434146	대한민국	대전	동
