#id	title	latitude	longitude	othernames	category	subcategory	subsubcategory	Addresscode_1	AddressCode_2	AddressCode_3	Detailed_address	BusinessHours	closingdays	parkingLot	cost	publicTransportationAccess	satisfaction	spendingTime	spendingTimeSD	placeURL
daum.19397053	제주민속5일시장	33.42018578618243	126.27416265532395		쇼핑	시장	시장	대한민국	제주특별자치도	제주시	한림읍 대림리 1711-1 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	4.0	1.0	0.1	http://place.map.daum.net/19397053
daum.18526098	제주중앙지하상가	33.51315225176114	126.52464407563599		쇼핑	쇼핑몰	쇼핑몰	대한민국	제주특별자치도	제주시	일도1동 1492-1 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	10.0	0.5	0.1	http://place.map.daum.net/18526098
daum.27053059	본제주쇼핑몰	33.481123724322806	126.52267586126439		쇼핑	쇼핑몰	쇼핑몰	대한민국	제주특별자치도	제주시	도남동 351 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	7.0	1.0	0.1	http://place.map.daum.net/27053059
daum.25817997	라이킷(LIKEIT)	33.51421928797833	126.52735488870981		쇼핑	도서	서점	대한민국	제주특별자치도	제주시	일도1동 1215 1층 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[""Wednesday""],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	6.0	2.0	0.1	http://place.map.daum.net/25817997
daum.26509956	마켓오름	33.24605698081898	126.52400483353735		쇼핑	식품	식품	대한민국	제주특별자치도	서귀포시	서호동 24-6 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	5.0	0.5	0.1	http://place.map.daum.net/26509956
daum.680208386	축협 하나로마트	33.48616516635509	126.54268725671173		쇼핑	식품	식품	대한민국	제주특별자치도	제주시	아라2동 2423 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	10.0	1.0	0.1	http://place.map.daum.net/680208386
daum.24598037	오늘은녹차한잔&쇼핑	33.38118963621115	126.79134516916024		쇼핑	식품	음료	대한민국	제주특별자치도	서귀포시	표선면 성읍리 2197-11 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	9.0	0.5	0.1	http://place.map.daum.net/24598037
daum.18983365	성산포수협수산물직판장	33.472908128581665	126.9337719044546		쇼핑	식품	수산물	대한민국	제주특별자치도	서귀포시	성산읍 성산리 347-9 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	8.0	2.0	0.1	http://place.map.daum.net/18983365
daum.27461979	해올렛직판장	33.493927031104356	126.48155554933032		쇼핑	쇼핑몰	쇼핑몰	대한민국	제주특별자치도	제주시	연동 2412-2 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	4.0	0.5	0.1	http://place.map.daum.net/27461979
daum.11518860	아트앤제주	33.491382252751144	126.47246740974539		쇼핑	기념품	기념품	대한민국	제주특별자치도	제주시	노형동 2684 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	36.0	1.0	0.1	http://place.map.daum.net/11518860
