#Titles	Category	subCategory	subsubcategory	Cost	spending min	spending min sd	open hour	close hour
천제연폭포	여행	관광,명소	폭포/계곡	2500	40	12	8:00	18:00
천지연폭포	여행	관광,명소	폭포/계곡	2000	40	10	7:30	20:00
테디베어뮤지엄 제주점	여행	관광,명소	미술관/박물관	7500	60	10	9:00	17:30
퍼시픽랜드 돌고래쇼	여행	관광,명소	테마파크	12000	70	20	11:00	16:30
한라산 어승생악	여행	관광,명소	산봉우리/등산로	0	60	10	7:30	18:00
한라산 웃세붉은오름	여행	관광,명소	산봉우리/등산로	0	60	10	7:30	18:00
한라산국립공원 관음사탐방로	여행	관광,명소	산봉우리/등산로	1800	600	60	6:30	18:00
한라산국립공원 돈내코탐방로	여행	관광,명소	산봉우리/등산로	1800	420	42	6:30	18:00
한라산국립공원 성판악탐방로	여행	관광,명소	산봉우리/등산로	1800	540	54	6:30	18:00
한라산국립공원 어리목탐방로	여행	관광,명소	산봉우리/등산로	1800	360	36	6:30	18:00
한라산국립공원 영실탐방로	여행	관광,명소	산봉우리/등산로	1800	300	30	6:30	18:00
한라수목원	여행	관광,명소	수목원,식물원	0	60	10	9:00	18:00
한림공원	여행	관광,명소	테마파크	10000	105	15	8:30	18:00
한화아쿠아플라넷 제주	문화,예술	문화시설	아쿠아리움	39200	60	10	10:00	19:00
함덕서우봉해변	여행	관광,명소	해수욕장/해변	0	45	15	5:30	19:30
협재해변	여행	관광,명소	해수욕장/해변	0	30	10	8:00	19:00
화순금모래해변	여행	관광,명소	해수욕장/해변	1000	30	10	7:30	20:00
환상숲곶자왈공원	여행	관광,명소	공원	5000	60	10	9:00	18:00
휴애리	여행	관광,명소	테마파크	11000	90	15	9:00	16:00
