#id	title	latitude	longitude	othernames	category	subcategory	subsubcategory	Addresscode_1	AddressCode_2	AddressCode_3	Detailed_address	BusinessHours	closingdays	parkingLot	cost	publicTransportationAccess	satisfaction	spendingTime	placeURL
daum.9401924	제주공룡랜드	33.44177999	126.4339879		여행	관광/명소	테마파크	대한민국	제주특별자치도	제주시	애월읍 광령리 2677-1 	{""weekDayOpen"":""9:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""17:00"",""weekDayCloseHour"":17.0,""saturdayOpen"":""9:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""17:00"",""saturdayCloseHour"":17.0,""sundayOpen"":""9:00"",""sundayOpenHour"":9.0,""sundayClose"":""17:00"",""sundayCloseHour"":17.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	9000	[]	7	1.5	0.25	http://place.map.daum.net/9401924
daum.8025182	우도	33.50441997	126.9555823		여행	관광/명소	섬	대한민국	제주특별자치도	제주시	우도면 연평리 	{""weekDayOpen"":""8:00"",""weekDayOpenHour"":8.0,""weekDayClose"":""17:30"",""weekDayCloseHour"":17.5,""saturdayOpen"":""8:00"",""saturdayOpenHour"":8.0,""saturdayClose"":""17:30"",""saturdayCloseHour"":17.5,""sundayOpen"":""8:00"",""sundayOpenHour"":8.0,""sundayClose"":""17:30"",""sundayCloseHour"":17.5}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	5500	[]	8.9	3	0.833333333	http://place.map.daum.net/8025182
daum.12684289	제주서광다원	33.3083756	126.3067324		여행	관광/명소		대한민국	제주특별자치도	서귀포시	안덕면 서광리 1241 	{""weekDayOpenHour"":0.0,""weekDayCloseHour"":0.0,""saturdayOpenHour"":0.0,""saturdayCloseHour"":0.0,""sundayOpenHour"":0.0,""sundayCloseHour"":0.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	0	1	0.0256	http://place.map.daum.net/12684289
daum.8025188	우도팔경유람선	33.47289056	126.9346541		여행	관광/명소	투어버스/유람선/관광열차	대한민국	제주특별자치도	서귀포시	성산읍 성산리 	{""weekDayOpen"":""14:40"",""weekDayOpenHour"":14.666666666666666,""weekDayClose"":""16:20"",""weekDayCloseHour"":16.333333333333332,""saturdayOpen"":""14:40"",""saturdayOpenHour"":14.666666666666666,""saturdayClose"":""16:20"",""saturdayCloseHour"":16.333333333333332,""sundayOpen"":""14:40"",""sundayOpenHour"":14.666666666666666,""sundayClose"":""16:20"",""sundayCloseHour"":16.333333333333332}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	15000	[]	0	1	0.083333333	http://place.map.daum.net/8025188
daum.12979413	붉은오름자연휴양림	33.401436	126.6753706		여행	관광/명소	휴양림/숲길걷기	대한민국	제주특별자치도	서귀포시	표선면 가시리 산158 	{""weekDayOpen"":""9:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""18:00"",""weekDayCloseHour"":18.0,""saturdayOpen"":""9:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""18:00"",""saturdayCloseHour"":18.0,""sundayOpen"":""9:00"",""sundayOpenHour"":9.0,""sundayClose"":""18:00"",""sundayCloseHour"":18.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	1000	[]	0	0.833333333	0.166666667	http://place.map.daum.net/12979413
daum.11023307	금능석물원	33.38516946	126.2272094		여행	관광/명소	미술관/박물관	대한민국	제주특별자치도	제주시	한림읍 금능리 1282-9 	{""weekDayOpen"":""8:30"",""weekDayOpenHour"":8.5,""weekDayClose"":""18:00"",""weekDayCloseHour"":18.0,""saturdayOpen"":""8:30"",""saturdayOpenHour"":8.5,""saturdayClose"":""18:00"",""saturdayCloseHour"":18.0,""sundayOpen"":""8:30"",""sundayOpenHour"":8.5,""sundayClose"":""18:00"",""sundayCloseHour"":18.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	4000	[]	10	1	0.166666667	http://place.map.daum.net/11023307
daum.12721319	노루생태관찰원	33.44435985	126.6266727		여행	관광/명소	테마파크	대한민국	제주특별자치도	제주시	봉개동 산51-2 	{""weekDayOpen"":""9:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""17:00"",""weekDayCloseHour"":17.0,""saturdayOpen"":""9:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""17:00"",""saturdayCloseHour"":17.0,""sundayOpen"":""9:00"",""sundayOpenHour"":9.0,""sundayClose"":""17:00"",""sundayCloseHour"":17.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	0	[]	0	0.666666667	0.083333333	http://place.map.daum.net/12721319
daum.8577982	제주미니랜드	33.43341894	126.6743784		여행	관광/명소	테마파크	대한민국	제주특별자치도	제주시	조천읍 교래리 산56-4 	{""weekDayOpenHour"":0.0,""weekDayCloseHour"":0.0,""saturdayOpenHour"":0.0,""saturdayCloseHour"":0.0,""sundayOpenHour"":0.0,""sundayCloseHour"":0.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	8.2	1	0.0256	http://place.map.daum.net/8577982
daum.8092604	천제연폭포	33.25148486	126.4172673		여행	관광/명소	폭포/계곡	대한민국	제주특별자치도	서귀포시	색달동 3381-1 중문관광단지 내 	{""weekDayOpen"":""8:00"",""weekDayOpenHour"":8.0,""weekDayClose"":""18:00"",""weekDayCloseHour"":18.0,""saturdayOpen"":""8:00"",""saturdayOpenHour"":8.0,""saturdayClose"":""18:00"",""saturdayCloseHour"":18.0,""sundayOpen"":""8:00"",""sundayOpenHour"":8.0,""sundayClose"":""18:00"",""sundayCloseHour"":18.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	2500	[]	7	0.666666667	0.2	http://place.map.daum.net/8092604
daum.8086164	신산공원	33.50697814	126.5331758		여행	관광/명소	공원	대한민국	제주특별자치도	제주시	일도2동 879 	{""weekDayOpen"":""7:30"",""weekDayOpenHour"":7.5,""weekDayClose"":""18:00"",""weekDayCloseHour"":18.0,""saturdayOpen"":""7:30"",""saturdayOpenHour"":7.5,""saturdayClose"":""18:00"",""saturdayCloseHour"":18.0,""sundayOpen"":""7:30"",""sundayOpenHour"":7.5,""sundayClose"":""18:00"",""sundayCloseHour"":18.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	0	[]	7.5	0.5	0.083333333	http://place.map.daum.net/8086164
