#Time	rain	amount	amount_sd	temperature
6	0	0	0.01	15
7	0	0	0.01	15
8	0	0	0.01	15
9	0	0	0.01	16
10	0	0	0.01	17
11	0	0	0.01	18
12	0	0	0.01	18
13	0	0	0.01	18
13	0	0	0.01	18
14	0	0	0.01	18
15	0	0	0.01	18
16	0	0	0.01	19
17	0	0	0.01	17
18	0	0	0.01	16
19	0	0	0.01	15
20	0	0	0.01	15
21	0	0	0.01	15
22	0	0	0.01	15
