하얏트리젠시 제주	우도팔경유람선	15	63872	6471	51200	1	13	14
하얏트리젠시 제주	월정리해수욕장	15	67814	6630	53400	1	13	14
하얏트리젠시 제주	유리의성	15	18670	1666	16100	1	13	14
하얏트리젠시 제주	이중섭미술관	15	17516	2095	15900	1	13	14
하얏트리젠시 제주	이호테우해변	15	37101	2842	29300	1	13	14
하얏트리젠시 제주	일출랜드	15	50843	5245	41200	1	13	14
하얏트리젠시 제주	저지오름	15	23573	2336	19900	1	13	14
하얏트리젠시 제주	정방폭포	15	17478	2077	15900	1	13	14
하얏트리젠시 제주	제주공룡랜드	15	29309	2101	23600	1	13	14
하얏트리젠시 제주	제주관음사	15	40156	3501	32000	1	13	14
하얏트리젠시 제주	제주도립미술관	15	36713	2756	29100	1	13	14
하얏트리젠시 제주	제주마방목지	15	39228	3751	31800	1	13	14
하얏트리젠시 제주	제주민속촌박물관	15	45634	4950	37300	1	13	14
하얏트리젠시 제주	제주절물자연휴양림	15	42073	4017	33900	1	13	14
하얏트리젠시 제주	제주해녀박물관	15	66329	6626	52200	1	13	14
하얏트리젠시 제주	제주현대미술관	15	22780	2232	19400	1	13	14
하얏트리젠시 제주	중문색달해변	15	1396	343	3800	1	13	14
하얏트리젠시 제주	지미봉	15	66630	6700	53300	1	13	14
하얏트리젠시 제주	차귀도	15	27718	3193	23900	1	13	14
하얏트리젠시 제주	천제연폭포	15	2294	496	4100	1	13	14
하얏트리젠시 제주	천지연폭포	15	15962	1822	14600	1	13	14
하얏트리젠시 제주	테디베어뮤지엄 제주점	15	1189	216	3800	1	13	14
하얏트리젠시 제주	퍼시픽랜드 돌고래쇼	15	1988	303	3800	1	13	14
하얏트리젠시 제주	한라산 어승생악	15	24283	2826	21200	1	13	14
하얏트리젠시 제주	한라산 웃세붉은오름	15	19858	2115	17500	1	13	14
하얏트리젠시 제주	한라산국립공원 관음사탐방로	15	36557	3297	29300	1	13	14
하얏트리젠시 제주	한라산국립공원 돈내코탐방로	15	21990	2451	19400	1	13	14
하얏트리젠시 제주	한라산국립공원 성판악탐방로	15	33672	3569	28000	1	13	14
하얏트리젠시 제주	한라산국립공원 어리목탐방로	15	19858	2115	17500	1	13	14
하얏트리젠시 제주	한라산국립공원 영실탐방로	15	19858	2115	17500	1	13	14
하얏트리젠시 제주	한라수목원	15	36498	2694	28900	1	13	14
하얏트리젠시 제주	한림공원	15	26876	2732	22800	1	13	14
