#표제어,유의어1,유의어2
내일,내일
오늘,금일
오늘저녁,저녁,오늘 저녁
이번주,금주,이번 주
다음주,명주,다음 주
다음주말,다음 주말
올해,이번해,이번 해,올 해
주말,이번주말,이번 주말
다음주말,다음 주말,다음주 말
이번달,이달
다음달,담달
이번주 평일,이번 주중,주중
이번달 평일
