#id	title	latitude	longitude	othernames	category	subcategory	subsubcategory	Addresscode_1	AddressCode_2	AddressCode_3	Detailed_address	BusinessHours	closingdays	parkingLot	cost	publicTransportationAccess	satisfaction	spendingTime	placeURL
daum.9843044	베스트고시텔	37.43566591941803	127.14064429984586		교육,학문	학습시설	고시원	대한민국	경기	성남시	중원구 성남동 2493 2층 	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	0.0			http://place.map.daum.net/9843044
daum.11831382	금왕평양면옥	37.669959746733504	126.78635458012651		음식점	한식	냉면	대한민국	경기	고양시	일산동구 정발산동 1271-7 	{""weekDayOpen"":""10:00"",""weekDayClose"":""22:00"",""saturdayOpen"":""10:00"",""saturdayClose"":""22:00"",""sundayOpen"":""10:00"",""sundayClose"":""22:00""}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[""명절""]}	-1	-1	[]	10.0			http://place.map.daum.net/11831382
daum.7912085	비자림	33.48397154405579	126.80574078626267		여행	관광,명소	자연휴양림	대한민국	제주특별자치도	제주시	구좌읍 평대리 산3164-1 	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	8.7			http://place.map.daum.net/7912085
daum.12372824	우리은행 한국전자통신연구원영업점	36.38304950050587	127.36652546047948		금융,보험	금융서비스	은행	대한민국	대전	유성구	가정동 161 	{""weekDayOpen"":""09:00"",""weekDayClose"":""16:00""}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	0.0			http://place.map.daum.net/12372824
daum.10965595	회룡역 1호선	37.724389684705244	127.04735926010957		교통,수송	지하철,전철	수도권지하철1호선	대한민국	경기	의정부시	호원동	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	0.0			http://place.map.daum.net/10965595
daum.13295745	에이브리빙텔	37.49714195631108	126.77641691762626		교육,학문	학습시설	고시원	대한민국	경기	부천시	원미구 중동 1127-8 2층 	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	9.8			http://place.map.daum.net/13295745
daum.19901061	마루게스트하우스	37.56182719656469	126.97821000730488		여행	숙박	게스트하우스	대한민국	서울	중구	북창동 108-5 	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	9.4			http://place.map.daum.net/19901061
daum.21854535	신라명과 간석역점	37.47023961364587	126.69084555238756		음식점	간식	제과,베이커리	대한민국	인천	남동구	간석동 762-2 1호선 간석역 	{""weekDayOpen"":""07:00"",""weekDayClose"":""22:00"",""saturdayOpen"":""07:00"",""saturdayClose"":""22:00"",""sundayOpen"":""07:00"",""sundayClose"":""22:00""}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	0.0			http://place.map.daum.net/21854535
daum.25770774	오투레지던스 이대점	37.55730331011356	126.94311313443066		교육,학문	학습시설	고시원	대한민국	서울	서대문구	대현동 101-12 자유빌딩 3층 	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	10.0			http://place.map.daum.net/25770774
daum.11923131	고시텔풀하우스	37.57071294353782	127.00445994027716		교육,학문	학습시설	고시원	대한민국	서울	종로구	종로5가 231-5 	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	8.5			http://place.map.daum.net/11923131
daum.8204922	코레일공항철도	37.56937002239465	126.67301799872737		사회,공공기관	공사,공단		대한민국	인천	서구	시천동 414-204 	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	0.0			http://place.map.daum.net/8204922
daum.18234115	압구정로데오역 분당선	37.527519383581634	127.04060050725566		교통,수송	지하철,전철	수도권지하철분당선	대한민국	서울	강남구	압구정동	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	0.0			http://place.map.daum.net/18234115
daum.25597316	Tworld 부천역직영샵	37.5491661135669	126.83592151242624		서비스,산업	정보통신	SK텔레콤	대한민국	서울	강서구	내발산동 723 도시철도공사5호선우장산역 내 1층 5호 	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	0.0			http://place.map.daum.net/25597316
daum.10713436	정왕역 4호선	37.35182296156406	126.74292990830541		교통,수송	지하철,전철	수도권지하철4호선	대한민국	경기	시흥시	정왕동	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	0.0			http://place.map.daum.net/10713436
daum.26352406	대곡역 경의중앙선	37.63185248634198	126.80990546903902		교통,수송	지하철,전철	수도권지하철경의중앙선	대한민국	경기	고양시	덕양구 대장동 	{}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	0.0			http://place.map.daum.net/26352406
